dB20(VF("/CSAout")) (multi=1) X,dB20(VF("/CSAout")) (multi=1) Y
5411.695265464637,23.05296461206344
5843.414133735176,23.05296460167874
6309.573444801932,23.05296459155203
6812.920690579613,23.05296458014668
7356.422544596413,23.05296456534474
7943.282347242814,23.0529645488415
8576.958985908941,23.05296453003618
9261.187281287936,23.05296450991041
10000,23.05296448316573
10797.7516232771,23.05296445399434
11659.14401179832,23.05296441946647
12589.25411794167,23.05296437842803
13593.56390878526,23.05296433041184
14677.99267622069,23.05296427565236
15848.93192461113,23.0529642112591
17113.28304161781,23.05296413599463
18478.49797422291,23.0529640486097
19952.6231496888,23.05296394756207
21544.34690031884,23.05296382850416
23263.05067153626,23.05296369059549
25118.8643150958,23.05296352823086
27122.72579332028,23.05296333830323
29286.44564625236,23.05296312001481
31622.77660168379,23.05296286407689
34145.48873833602,23.05296256540411
36869.45064519576,23.05296221769563
39810.71705534973,23.05296181138288
42986.62347082277,23.05296133703938
46415.88833612779,23.05296078652528
50118.72336272723,23.05296014299278
54116.95265464637,23.05295939290274
58434.14133735176,23.05295851727661
63095.73444801932,23.05295749902713
68129.20690579612,23.05295631049757
73564.22544596413,23.05295492411756
79432.82347242815,23.05295330959624
85769.58985908941,23.05295142398316
92611.87281287934,23.05294922562867
100000,23.05294666548036
107977.516232771,23.05294367822295
116591.4401179832,23.05294019577182
125892.5411794167,23.05293613589306
135935.6390878526,23.05293140088185
146779.926762207,23.05292588006069
158489.3192461114,23.05291944471472
171132.8304161781,23.05291193892808
184784.9797422291,23.05290318687159
199526.231496888,23.05289298432702
215443.4690031884,23.05288108481455
232630.5067153626,23.05286720759022
251188.643150958,23.0528510268846
271227.2579332028,23.05283215825525
292864.4564625237,23.05281014961447
316227.766016838,23.05278448329489
341454.8873833602,23.05275454997226
368694.5064519576,23.05271963367191
398107.1705534973,23.05267890291963
429866.2347082277,23.0526313915422
464158.8833612779,23.05257595719701
501187.2336272722,23.05251127699607
541169.5265464636,23.05243579765732
584341.4133735175,23.05234770413709
630957.3444801931,23.052244868702
681292.0690579611,23.05212480223783
735642.2544596412,23.05198458458578
794328.2347242814,23.0518207929337
857695.898590894,23.05162939872599
926118.7281287933,23.05140567454339
999999.9999999998,23.05114404898411
1079775.162327709,23.0508379557352
1165914.401179831,23.05047963760236
1258925.411794167,23.0500599216378
1359356.390878525,23.04956792075918
1467799.267622069,23.04899071257434
1584893.192461113,23.04831288877151
1711328.304161781,23.04751604141563
1847849.797422291,23.04657812052605
1995262.314968879,23.0454726053456
2154434.690031883,23.04416750966536
2326305.067153626,23.04262410241336
2511886.43150958,23.04079531562834
2712272.579332028,23.03862374337324
2928644.564625236,23.03603909758706
3162277.660168379,23.03295502629829
3414548.873833601,23.02926508853132
3686945.064519574,23.02483769681349
3981071.705534971,23.01950978909397
4298662.347082276,23.01307896388603
4641588.833612778,23.0052937421697
5011872.336272722,22.99584170253591
5411695.265464636,22.98433515782998
5843414.133735174,22.97029421604088
6309573.44480193,22.95312717219232
6812920.690579611,22.93210852231438
7356422.544596411,22.90635525008724
7943282.347242813,22.87480278287903
8576958.985908939,22.83618260012391
9261187.281287933,22.78900465485576
9999999.999999998,22.73154844539498
10797751.62327709,22.66186749295431
11659144.01179831,22.57781207757095
12589254.11794167,22.47707452171113
13593563.90878525,22.35725936009245
14677992.67622069,22.21597771499638
15848931.92461113,22.05096071178493
17113283.04161781,21.86018237024887
18478497.97422291,21.64197837097916
19952623.1496888,21.39514540102267
21544346.90031883,21.11900705653997
23263050.67153626,20.81343667559245
25118864.3150958,20.47883434310347
27122725.79332028,20.11606266941612
29286445.64625237,19.72635212635273
31622776.6016838,19.3111902902899
34145488.73833602,18.87220964142156
36869450.64519576,18.41108624222981
39810717.05534973,17.92945751846547
42986623.47082277,17.42886283911383
46415888.3361278,16.91070652160047
50118723.36272723,16.37623990170203
54116952.65464637,15.82655753739904
58434141.33735177,15.26260217774253
63095734.44801933,14.68517367942926
68129206.90579614,14.09493820779697
73564225.44596414,13.49243534827576
79432823.47242816,12.87808204711336
85769589.85908942,12.25217325943895
92611872.81287935,11.61487985813373
100000000,10.96624465629604
107977516.232771,10.30617748911651
116591440.1179832,9.634450223499806
125892541.1794167,8.950692445184412
135935639.0878526,8.254388485317081
146779926.762207,7.54487641222429
158489319.2461114,6.821349665176023
171132830.4161781,6.082862067341111
184784979.7422291,5.32833704415968
199526231.496888,4.556581870376887
215443469.0031884,3.766307685928366
232630506.7153627,2.956155750324631
251188643.1509581,2.124729997922563
271227257.9332029,1.270635342676768
292864456.4625237,0.3925204578015878
316227766.016838,-0.5108770073129575
341454887.3833602,-1.440685523085225
368694506.4519576,-2.397858303313559
398107170.5534973,-3.383138812284874
429866234.7082278,-4.397036185129879
464158883.3612779,-5.439812804667666
501187233.6272723,-6.511485107576791
541169526.5464637,-7.611837287637795
584341413.3735176,-8.740446142808153
630957344.4801933,-9.896714099823045
